sn,condition,idcode,gender,age,class,height,weight,father_origin,religion,sibling-f,sibling-m,father-job,mother-job,mother_edu,father_edu,healtha,healthb,healthc,healthd,healthe,sussex1a,sussex1b,sussex1c,sussex1d,sussex1e,sussex2a,sussex2b,sussex2c,sussex2d,sussex2e,sussex3a,sussex3b,sussex3c,sussex3d,sussex3e,sussex4a,sussex4b,sussex4c,sussex4d,sussex4e,sussex5a,sussex5b,sussex5c,sussex5d,sussex5e,sussex6a,sussex6b,sussex6c,sussex6d,sussex6e,sussex7a,sussex7b,sussex7c,sussex7d,sussex7e,sussex8a,sussex8b,sussex8c,sussex8d,sussex8e,sussex9a,sussex9b,sussex9c,sussex9d,sussex9e,sussex10a,sussex10b,sussex10c,sussex10d,sussex10e,attnchk1,sussex11a,sussex11b,sussex11c,sussex11d,sussex11e,sussex12a,sussex12b,sussex12c,sussex12d,sussex12e,sussex13a,sussex13b,sussex13c,sussex13d,sussex13e,sussex14a,sussex14b,sussex14c,sussex14d,sussex14e,sussex15a,sussex15b,sussex15c,sussex15d,sussex15e,sussex16a,sussex16b,sussex16c,sussex16d,sussex16e,sussex17a,sussex17b,sussex17c,sussex17d,sussex17e,sussex18a,sussex18b,sussex18c,sussex18d,sussex18e,sussex19a,sussex19b,sussex19c,sussex19d,sussex19e,sussex20a,sussex20b,sussex20c,sussex20d,sussex20e,attnchk2,ames1a,ames1b,ames1c,ames1d,ames1e,ames2a,ames2b,ames2c,ames2d,ames2e,ames3a,ames3b,ames3c,ames3d,ames3e,ames4a,ames4b,ames4c,ames4d,ames4e,attnchk3,ames5a,ames5b,ames5c,ames5d,ames5e,ames6a,ames6b,ames6c,ames6d,ames6e,ames7a,ames7b,ames7c,ames7d,ames7e,ames8a,ames8b,ames8c,ames8d,ames8e,symp1a,symp1b,symp1c,symp1d,symp1e,symp2a,symp2b,symp2c,symp2d,symp2e,symp3a,symp3b,symp3c,symp3d,symp3e,iri1a,iri1b,iri1c,iri1d,iri1e,iri2a,iri2b,iri2c,iri2d,iri2e,iri3a,iri3b,iri3c,iri3d,iri3e,iri4a,iri4b,iri4c,iri4d,iri4e,iri5a,iri5b,iri5c,iri5d,iri5e,sds1a,sds1b,sds2a,sds2b,sds3a,sds3b,sds4a,sds4b,sds5a,sds5b,sds6a,sds6b,iosa,iosb,iosc,iosd,iose,swiss1,swiss2,swiss3,swiss4,swiss5,swiss6,swiss7,swiss8,sps1,sps2,sps3,sps4,sps5,sps6,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,school
323,5,Gp177,1,14,1,153,51,24,1,NA,1,Alfa,Tailor,7,7,100,100,60,90,100,100,40,90,80,20,100,50,60,80,80,100,50,30,30,20,100,100,90,70,50,100,100,80,80,100,100,100,70,70,100,100,100,90,70,90,100,100,70,90,100,100,60,80,80,100,100,50,70,90,80,100,100,100,70,100,90,50,50,90,90,0,100,100,100,80,80,60,100,80,80,100,100,100,100,80,50,100,100,80,100,60,100,100,50,100,90,100,100,80,90,70,100,100,80,70,90,100,90,70,80,90,100,100,50,70,90,10,100,60,100,80,50,90,50,100,100,100,100,100,100,80,100,100,50,0,0,0,0,70,100,100,100,0,100,50,70,90,100,100,60,100,90,60,100,100,70,100,70,100,90,100,100,100,50,50,70,80,70,100,50,70,100,100,90,50,100,80,90,50,50,80,80,30,100,50,100,60,90,100,100,100,90,100,1,1,0,0,1,1,0,1,1,0,0,0,5,6,6,6,6,100,60,80,70,30,40,80,100,80,10,10,90,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch1
324,5,Gp195,0,16,1,170,65,24,1,5,NA,Trader,trader,7,7,100,100,100,40,100,100,100,100,50,70,100,100,60,50,70,0,100,100,60,80,0,100,100,50,70,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,50,80,80,100,100,50,80,70,70,100,100,100,60,100,100,100,50,100,100,100,100,100,80,100,100,100,100,70,0,100,100,50,70,100,100,100,50,70,100,100,100,50,80,40,100,100,50,80,100,100,100,100,70,80,100,100,100,70,30,100,100,100,50,60,70,100,100,50,70,20,100,100,50,70,100,100,100,50,50,50,90,100,100,50,50,50,100,100,50,50,90,100,100,50,70,100,100,100,50,50,40,100,100,50,90,70,100,100,50,100,70,100,100,50,70,70,100,100,50,100,100,100,100,50,70,80,100,100,40,80,100,100,100,50,80,70,100,100,50,70,1,1,0,0,1,1,1,1,1,0,0,0,6,6,6,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch1
325,5,Gp198,0,14,1,179,60,3,0,1,2,Agent,Pizza,1,1,100,100,90,100,100,100,90,80,90,50,100,70,90,90,50,100,100,70,80,50,100,100,100,90,50,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,90,50,100,100,50,100,50,100,100,100,100,100,100,80,80,50,50,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,50,90,100,100,100,80,80,80,50,100,100,90,100,100,100,90,100,100,100,100,90,100,100,100,50,100,30,50,50,50,100,90,50,50,100,100,90,50,80,100,100,70,90,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,0,1,1,1,0,0,1,0,1,6,6,6,6,100,100,100,80,80,60,100,100,100,50,50,100,90,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch1
326,5,Gp002,1,16,0,180,50,28,1,3,4,hair dresser,Capital,1,7,100,100,NA,100,100,80,70,NA,80,70,50,40,NA,60,90,90,50,NA,70,50,70,50,NA,50,80,40,40,NA,80,100,100,50,NA,90,90,80,50,NA,70,90,50,80,NA,100,90,100,90,NA,70,90,100,90,NA,100,70,100,80,80,NA,70,100,30,90,NA,90,100,100,40,NA,70,100,60,50,NA,80,60,100,80,NA,70,80,100,80,NA,80,70,100,100,NA,60,90,100,100,NA,80,80,100,100,NA,100,100,100,90,NA,100,90,100,50,40,NA,50,80,80,50,NA,50,90,50,40,NA,60,80,60,50,NA,70,90,90,20,30,NA,60,80,50,50,NA,50,50,100,30,NA,50,70,50,60,NA,60,80,100,90,NA,90,80,100,80,NA,50,90,60,30,NA,80,80,90,100,NA,100,80,50,50,NA,60,90,20,50,NA,70,100,50,50,NA,60,80,70,50,NA,80,80,1,1,0,0,0,0,0,0,0,0,1,1,3,5,NA,6,5,40,50,50,50,70,60,70,80,70,80,30,80,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
327,5,Gp027,0,18,0,176,56,25,1,5,1,Berbar,Selling food,1,3,100,100,NA,100,100,100,100,NA,60,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,60,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,90,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,90,100,100,NA,100,100,100,100,NA,60,100,100,100,NA,100,100,100,100,NA,50,100,100,100,NA,100,100,100,100,100,NA,100,100,100,100,NA,100,100,50,70,NA,100,100,100,100,NA,100,100,50,100,100,NA,100,100,100,80,NA,100,70,100,60,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,80,NA,100,100,70,100,NA,100,90,100,40,NA,100,100,100,50,NA,100,100,100,40,NA,100,100,100,100,NA,100,100,80,70,NA,100,100,0,0,0,1,1,1,0,1,0,0,0,1,0,6,NA,2,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
328,5,Gp034,1,20,0,163,53,23,0,4,3,Business owner,Business owner,4,NA,100,100,NA,NA,NA,20,100,NA,NA,NA,60,100,NA,NA,NA,50,100,NA,NA,NA,60,100,NA,NA,NA,50,100,NA,NA,NA,100,100,NA,NA,NA,60,100,NA,NA,NA,40,100,NA,NA,NA,80,100,NA,NA,NA,70,100,NA,NA,NA,70,50,100,NA,NA,NA,60,100,NA,NA,NA,60,100,NA,NA,NA,100,100,NA,NA,NA,50,100,NA,NA,NA,100,100,NA,NA,NA,100,100,NA,NA,NA,50,100,NA,NA,NA,100,100,NA,NA,NA,100,100,NA,NA,NA,30,60,100,NA,NA,NA,60,100,NA,NA,NA,100,100,NA,NA,NA,70,100,NA,NA,NA,50,40,100,NA,NA,NA,80,100,NA,NA,NA,30,80,NA,NA,NA,100,100,NA,NA,NA,100,100,NA,NA,NA,100,100,NA,NA,NA,100,90,NA,NA,NA,100,100,NA,NA,NA,100,80,NA,NA,NA,40,100,NA,NA,NA,100,100,NA,NA,NA,100,100,NA,NA,NA,0,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,100,100,100,100,100,100,100,100,50,70,80,90,30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
329,5,Gp051,0,16,1,163,61,25,0,2,3,Driver,Trader,1,1,40,70,NA,60,NA,50,90,NA,70,NA,60,70,NA,60,NA,60,80,NA,60,NA,60,80,NA,60,NA,50,70,NA,70,NA,50,80,NA,70,NA,50,70,NA,60,NA,50,70,NA,70,NA,50,80,NA,70,NA,50,70,NA,70,NA,50,60,70,NA,60,NA,50,60,NA,70,NA,70,70,NA,70,NA,70,70,NA,80,NA,70,50,NA,70,NA,50,70,NA,70,NA,50,70,NA,90,NA,50,60,NA,70,NA,50,80,NA,70,NA,50,50,NA,60,NA,70,60,70,NA,70,NA,60,70,NA,70,NA,70,60,NA,70,NA,30,60,NA,70,NA,90,70,60,NA,60,NA,80,80,NA,60,NA,60,80,NA,50,NA,70,70,NA,80,NA,70,80,NA,70,NA,70,70,NA,70,NA,50,80,NA,70,NA,70,70,NA,60,NA,40,80,NA,80,NA,60,70,NA,60,NA,70,80,NA,80,NA,70,70,NA,80,NA,1,1,1,1,1,1,0,1,1,1,0,1,4,2,NA,1,NA,70,60,60,60,70,60,60,60,60,70,70,70,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
330,5,Gp052,0,16,1,188,69,28,0,1,2,Real estate,Trader,3,4,70,100,100,100,100,90,80,100,100,80,90,100,80,90,80,90,80,30,80,80,90,100,100,80,90,100,90,90,90,80,10,50,100,80,80,100,100,90,90,70,100,100,100,90,80,90,90,90,90,80,100,70,90,90,90,70,90,90,100,90,70,90,100,100,100,80,70,80,100,80,90,100,70,100,100,80,40,70,70,100,80,70,100,100,100,100,90,100,90,90,60,90,90,90,100,80,100,100,100,100,80,100,90,100,100,80,30,90,90,80,100,80,50,80,90,90,70,50,80,50,70,70,50,90,100,90,60,50,50,0,0,90,80,10,0,0,30,80,50,0,90,70,0,100,0,0,80,70,90,100,100,90,30,90,90,100,100,90,100,100,100,100,80,100,100,100,90,70,100,100,100,80,80,100,100,100,90,80,100,100,100,90,80,100,100,90,70,80,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,100,100,0,100,100,100,100,100,90,0,0,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
331,5,Gp061,0,14,1,165,51,29,0,0,0,Business man,Business woman,7,7,100,100,NA,80,90,80,50,NA,100,80,80,50,NA,100,100,80,50,NA,100,80,100,50,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,90,80,70,NA,80,100,50,80,NA,100,80,70,70,70,NA,100,80,70,70,NA,100,80,50,70,NA,100,100,50,80,NA,100,100,50,70,NA,50,50,50,80,NA,50,70,80,80,NA,80,60,80,70,NA,50,60,50,70,NA,80,80,80,80,NA,80,80,30,80,50,NA,50,100,70,50,NA,50,80,70,50,NA,50,70,100,50,NA,50,70,50,70,50,NA,50,50,70,50,NA,50,50,70,50,NA,50,50,70,50,NA,50,50,80,80,NA,100,50,80,100,NA,100,100,100,100,NA,100,100,100,100,NA,80,100,100,100,NA,100,100,100,100,NA,100,50,100,100,NA,100,100,100,100,NA,100,100,1,1,1,1,1,1,1,1,0,1,0,0,6,6,NA,5,6,100,100,90,100,100,100,100,100,100,50,50,100,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
332,5,Gp070,1,16,1,166,54,25,1,4,0,A politician,A trader,4,3,100,100,100,100,100,100,60,100,90,100,80,70,70,80,100,100,80,80,80,100,80,80,80,100,100,80,70,90,90,100,90,80,80,80,100,80,70,70,50,100,100,90,90,90,100,80,70,100,80,100,80,80,80,80,100,70,80,80,80,90,100,80,70,100,90,100,70,50,80,80,100,90,70,80,80,100,70,60,80,80,100,90,80,80,50,100,70,70,80,90,100,70,70,80,90,100,80,80,80,80,100,80,70,80,90,100,30,90,80,90,80,100,80,70,80,90,100,100,90,90,90,100,100,80,90,80,100,50,80,100,100,80,100,80,80,90,80,100,100,100,90,90,100,100,80,80,90,100,90,70,90,90,100,100,80,80,90,100,80,80,80,90,100,90,80,100,80,100,90,80,90,80,100,80,80,80,80,100,80,80,90,90,100,90,80,100,90,100,1,1,0,1,1,1,1,1,0,0,0,0,6,6,6,6,6,100,100,80,90,80,50,70,80,80,50,50,100,100,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
333,5,Gp074,1,18,1,167,58,31,0,4,NA,Business man,Business woman,1,3,100,100,100,100,NA,90,100,100,100,NA,50,100,100,100,NA,80,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,60,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,70,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,60,100,100,100,NA,70,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,30,100,100,100,100,NA,90,100,100,100,NA,60,100,100,100,NA,100,100,100,100,NA,50,40,70,100,100,NA,40,100,100,100,NA,100,100,100,100,NA,70,100,100,100,NA,100,100,100,100,NA,90,100,100,100,NA,100,100,100,100,NA,50,100,100,100,NA,70,100,100,100,NA,70,100,100,100,NA,100,100,100,100,NA,80,100,100,100,NA,1,1,0,0,1,1,1,1,1,1,0,0,6,6,6,6,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
334,5,GP080,1,15,1,159,47,28,0,1,2,Business man,Business woman,1,1,80,100,NA,NA,NA,50,50,NA,NA,NA,50,40,NA,NA,NA,40,40,NA,NA,NA,60,40,NA,NA,NA,90,60,NA,NA,NA,100,60,NA,NA,NA,90,60,NA,NA,NA,90,50,NA,NA,NA,80,50,NA,NA,NA,80,60,NA,NA,NA,70,80,50,NA,NA,NA,50,40,NA,NA,NA,60,50,NA,NA,NA,50,50,NA,NA,NA,60,40,NA,NA,NA,70,60,NA,NA,NA,50,50,NA,NA,NA,70,50,NA,NA,NA,70,60,NA,NA,NA,80,50,NA,NA,NA,30,50,50,NA,NA,NA,50,40,NA,NA,NA,60,50,NA,NA,NA,80,50,NA,NA,NA,50,40,20,NA,NA,NA,70,40,NA,NA,NA,80,50,NA,NA,NA,80,40,NA,NA,NA,70,50,NA,NA,NA,60,50,NA,NA,NA,70,50,NA,NA,NA,60,40,NA,NA,NA,70,50,NA,NA,NA,60,60,NA,NA,NA,60,50,NA,NA,NA,90,50,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,4,4,NA,NA,NA,60,60,70,60,60,50,40,60,70,50,40,60,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
335,5,Gp093,0,16,1,172,49,10,0,0,3,Teacher,Trader,6,7,100,100,NA,100,NA,70,60,NA,70,NA,60,60,NA,70,NA,80,80,NA,70,NA,70,50,NA,70,NA,60,70,NA,60,NA,60,80,NA,80,NA,90,50,NA,70,NA,60,90,NA,100,NA,70,60,NA,60,NA,70,70,NA,70,NA,70,60,50,NA,70,NA,40,50,NA,80,NA,60,60,NA,70,NA,70,50,NA,80,NA,30,60,NA,60,NA,70,60,NA,70,NA,60,50,NA,70,NA,50,20,NA,70,NA,70,70,NA,60,NA,40,50,NA,80,NA,30,60,50,NA,70,NA,60,80,NA,70,NA,50,80,NA,100,NA,70,80,NA,70,NA,50,70,30,NA,100,NA,80,50,NA,100,NA,60,10,NA,80,NA,60,60,NA,90,NA,50,40,NA,100,NA,50,100,NA,90,NA,80,80,NA,100,NA,60,100,NA,70,NA,60,70,NA,60,NA,60,40,NA,20,NA,60,20,NA,70,NA,70,90,NA,80,NA,1,1,1,1,0,1,0,1,0,0,1,0,6,6,NA,6,NA,50,50,70,70,60,60,60,70,60,40,30,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
336,5,Gp123,1,18,0,160,50,25,0,1,3,Business man,Fashion designer,3,2,100,100,NA,100,100,100,50,NA,100,50,100,100,NA,50,50,100,50,NA,50,50,100,100,NA,100,60,50,100,NA,100,80,100,50,NA,100,50,100,50,NA,100,60,50,100,NA,100,60,100,50,NA,50,50,100,100,NA,50,50,70,50,100,NA,50,50,50,50,NA,100,60,100,60,NA,100,50,50,100,NA,100,60,100,100,NA,50,50,100,100,NA,50,50,100,50,NA,100,50,50,100,NA,100,50,100,100,NA,60,60,100,50,NA,100,60,100,100,100,NA,100,50,100,100,NA,50,50,100,50,NA,50,60,100,100,NA,50,40,50,50,50,NA,50,20,100,100,NA,100,20,100,100,NA,100,30,50,100,NA,100,60,50,100,NA,100,50,100,50,NA,80,100,50,50,NA,100,50,100,50,NA,100,50,50,50,NA,100,50,100,50,NA,100,50,100,100,NA,100,50,100,50,NA,100,50,1,1,0,0,1,1,1,1,1,0,0,0,0,1,NA,1,1,100,100,50,100,100,100,100,100,100,100,100,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
337,5,Gp124,1,17,0,164,61,29,0,4,1,Business man,Business woman,7,7,90,40,50,40,100,40,80,70,30,50,60,50,50,50,100,60,50,50,30,70,50,40,50,50,70,50,80,70,60,100,50,40,60,50,80,60,30,50,60,70,60,40,30,40,90,60,30,50,50,90,50,50,30,60,60,70,40,60,50,50,40,50,50,60,50,60,70,40,50,50,90,50,70,60,100,80,90,70,50,40,90,50,30,60,60,90,50,30,50,50,50,50,30,50,30,80,50,40,40,60,70,70,50,50,50,90,40,50,60,70,50,90,50,50,70,60,100,50,60,90,40,100,50,60,50,50,70,50,50,50,50,100,70,50,40,70,100,90,50,40,50,40,60,50,30,60,50,90,60,50,100,40,90,40,50,50,80,100,60,60,60,70,80,30,50,60,40,90,50,50,60,50,100,50,40,60,40,100,90,60,70,50,90,60,60,80,90,90,1,1,1,1,1,0,0,1,1,1,1,1,2,3,3,3,3,40,50,80,100,10,50,20,40,30,40,80,40,20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
338,5,Gp125,1,17,0,161,56,15,0,4,1,Business man,Business woman,7,7,100,100,100,100,100,60,100,100,100,100,80,100,100,100,100,80,100,100,90,100,70,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,70,100,100,100,100,60,60,50,70,50,80,100,100,100,100,100,100,100,90,100,80,100,100,90,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,80,80,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,50,100,70,50,40,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,0,1,1,1,1,1,0,0,1,0,5,5,3,1,3,100,70,60,100,100,100,100,100,90,50,50,70,60,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
339,5,Gp128,1,17,0,166,69,4,0,0,4,Farmer,Trader,1,1,100,100,NA,100,100,50,80,NA,50,80,70,70,NA,50,80,70,80,NA,70,80,30,60,NA,70,90,50,90,NA,80,100,100,100,NA,70,100,50,100,NA,80,100,100,100,NA,100,100,90,90,NA,100,100,100,100,NA,100,100,70,70,70,NA,100,80,50,80,NA,60,80,70,80,NA,90,90,100,80,NA,100,100,90,80,NA,70,90,10,90,NA,90,100,90,100,NA,100,70,70,60,NA,100,80,80,100,NA,100,70,100,90,NA,100,80,30,70,80,NA,70,70,60,80,NA,80,80,100,90,NA,80,80,90,100,NA,80,80,50,60,60,NA,50,80,50,60,NA,50,80,80,50,NA,70,70,70,70,NA,60,70,100,70,NA,100,80,100,70,NA,100,100,90,80,NA,100,90,100,100,NA,100,100,60,70,NA,90,100,70,90,NA,70,80,50,90,NA,100,100,70,100,NA,100,100,1,1,1,1,1,1,1,0,1,0,0,1,5,5,NA,6,6,50,70,80,80,60,50,80,80,70,40,50,50,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
340,5,Gp129,1,16,0,180,67,1,0,1,3,Nothing,trader,7,2,100,100,100,100,100,90,100,100,100,90,70,100,100,100,100,80,100,100,100,100,100,90,100,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,70,90,90,90,100,90,100,80,80,100,100,100,100,100,100,90,100,100,100,100,100,100,90,90,100,100,90,100,100,100,90,90,90,100,90,90,70,90,100,90,90,80,90,100,100,90,90,80,90,100,100,30,90,90,90,90,90,90,90,100,100,90,100,90,100,90,100,90,90,100,100,100,50,90,100,100,100,100,90,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,100,90,100,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,0,0,0,0,0,0,0,6,6,6,6,6,100,90,100,100,100,100,90,100,100,80,90,90,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
341,5,Gp130,1,14,0,171,86,23,1,2,2,Police officer,Trader,6,6,0,100,NA,100,100,100,100,NA,100,100,50,60,NA,100,70,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,50,100,NA,100,100,50,100,NA,100,100,100,100,NA,100,100,100,50,NA,100,50,100,100,NA,100,70,70,50,100,NA,80,80,50,90,NA,100,100,100,100,NA,100,100,100,90,NA,100,100,50,50,NA,80,90,100,100,NA,100,100,100,50,NA,70,50,100,100,NA,70,80,50,70,NA,80,100,50,70,NA,60,90,50,100,100,NA,100,100,50,100,NA,70,100,100,100,NA,100,100,100,80,NA,60,100,50,0,0,NA,0,0,50,0,NA,20,90,50,20,NA,10,30,50,30,NA,80,50,50,80,NA,100,60,80,100,NA,100,100,50,50,NA,100,100,100,100,NA,60,100,100,100,NA,100,90,100,50,NA,100,100,100,100,NA,80,100,100,100,NA,100,100,1,1,1,0,1,1,0,0,0,0,0,0,3,3,NA,0,2,100,100,100,80,100,40,70,100,80,90,100,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
342,5,Gp135,1,16,0,165,46,28,0,3,2,Business,Business woman,7,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,50,50,100,90,100,50,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,0,0,0,0,1,0,6,6,6,6,6,100,100,100,100,50,100,100,50,100,100,100,50,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch2
343,5,Gp003,0,15,1,161,40,24,1,2,1,Civilsavaty,teacher,6,2,40,100,70,100,100,40,70,40,60,70,30,70,40,50,70,30,50,60,60,100,50,60,60,70,80,20,70,50,70,90,30,20,60,60,90,30,70,70,80,90,50,70,40,50,90,40,50,40,60,90,30,40,50,50,60,70,20,90,40,50,80,30,40,50,50,50,40,80,40,60,80,40,30,50,50,70,30,70,60,50,60,40,40,60,40,80,30,90,50,50,80,20,40,60,50,70,20,40,60,70,100,30,50,30,60,100,30,40,60,60,60,80,40,40,40,70,80,20,70,70,70,100,70,60,40,50,100,30,20,60,70,50,90,40,60,60,90,90,60,70,40,60,100,30,60,50,70,90,60,70,30,60,90,40,70,20,60,100,30,60,60,50,100,40,40,60,80,90,40,50,60,60,90,30,60,50,50,100,30,40,70,50,100,30,60,70,50,90,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,30,70,60,70,40,50,40,70,30,50,30,60,60,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch3
344,5,Gp007,0,17,1,175,60,25,1,2,2,Business,Business,7,7,100,100,80,100,90,100,100,100,100,80,100,100,100,100,80,100,100,100,90,80,100,100,100,100,80,100,100,100,80,50,100,100,100,100,80,100,100,100,90,80,100,100,100,100,90,100,100,100,100,90,100,100,100,100,90,70,100,100,90,90,70,100,100,100,90,80,100,100,100,90,80,100,90,100,100,70,100,100,100,90,80,100,100,90,90,90,100,100,100,90,80,100,100,100,90,80,100,100,100,90,60,100,100,90,80,90,30,100,100,100,90,80,100,100,100,90,90,70,100,100,90,70,100,100,100,90,70,50,100,100,100,100,70,100,100,100,90,80,100,100,100,80,90,100,100,100,90,80,100,100,100,90,70,100,100,90,90,80,100,100,100,90,90,100,100,100,90,90,100,100,100,90,80,100,100,100,70,90,100,100,100,90,90,100,100,100,90,80,1,1,0,1,1,0,0,0,1,1,1,1,6,2,0,6,6,100,100,100,100,100,100,100,100,100,100,100,90,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sch3
